Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,6652.500000,6652.500000,6290.000000,6290.000000,5977.672363,336000
2022-06-16,6270.000000,6450.000000,5990.000000,6437.500000,6117.848633,1072000
2022-06-17,6437.500000,6500.000000,6177.500000,6482.500000,6160.614258,808000
2022-06-20,6482.500000,6482.500000,6337.500000,6340.000000,6025.189941,287000
2022-06-21,6340.000000,6500.000000,6340.000000,6422.500000,6103.593262,553000
2022-06-22,6425.000000,6500.000000,6375.000000,6405.000000,6086.962402,979000
2022-06-23,6405.000000,6480.000000,6297.500000,6400.000000,6082.210449,534000
2022-06-24,6400.000000,6500.000000,6397.500000,6420.000000,6101.217773,168000
2022-06-27,6425.000000,6500.000000,6380.000000,6490.000000,6167.741699,282000
2022-06-28,6492.500000,7122.500000,6490.000000,7092.500000,6740.324707,656000
2022-06-29,7092.500000,7600.000000,7080.000000,7500.000000,7127.590332,452000
2022-06-30,7600.000000,8000.000000,7560.000000,7795.000000,7407.942383,598000
2022-07-01,7797.500000,8170.000000,7795.000000,7880.000000,7488.722168,521000
2022-07-04,7880.000000,7990.000000,7520.000000,7950.000000,7555.246094,730000
2022-07-05,8000.000000,8500.000000,7950.000000,8000.000000,7602.763184,556000
2022-07-06,8050.000000,8200.000000,7500.000000,7637.500000,7258.263184,327000
2022-07-07,7637.500000,7637.500000,7300.000000,7325.000000,6961.280273,378000
2022-07-08,7325.000000,7330.000000,6947.500000,7045.000000,6695.183594,376000
2022-07-11,7045.000000,7600.000000,7045.000000,7250.000000,6890.004395,433000
2022-07-12,7350.000000,7500.000000,6982.500000,7200.000000,6842.486816,452000
2022-07-13,7200.000000,7397.500000,7050.000000,7100.000000,6747.452148,517000
2022-07-14,7100.000000,7240.000000,7087.500000,7235.000000,6875.749023,120000
2022-07-15,7237.500000,7237.500000,7050.000000,7112.500000,6759.332031,98000
2022-07-18,7112.500000,7112.500000,6615.000000,6615.000000,6286.535156,782000
2022-07-19,6630.000000,6872.500000,6600.000000,6615.000000,6286.535156,302000
2022-07-20,6642.500000,6750.000000,6615.000000,6622.500000,6293.662109,191000
2022-07-21,6617.500000,6657.500000,6615.000000,6622.500000,6293.662109,84000
2022-07-22,6622.500000,6645.000000,6600.000000,6610.000000,6281.783203,184000
2022-07-25,6610.000000,6650.000000,6600.000000,6617.500000,6288.910645,173000
2022-07-26,6617.500000,6617.500000,6600.000000,6605.000000,6277.031250,62000
2022-07-27,6605.000000,6700.000000,6605.000000,6692.500000,6360.187012,157000
2022-07-28,6697.500000,6850.000000,6670.000000,6800.000000,6462.348633,138000
2022-07-29,6800.000000,6890.000000,6740.000000,6797.500000,6459.973145,161000
2022-08-01,6797.500000,6890.000000,6640.000000,6810.000000,6471.852051,165000
2022-08-02,6810.000000,6810.000000,6700.000000,6710.000000,6376.817871,98000
